Numer wywiadu;Id respondenta;Zmienna addresowa ID;Wska¿ swoj¹ p³eæ.;Inna, jaka?;Wska¿ swój wiek.;k_wiek;Wska¿ pañstwo, w którym mieszkasz obecnie. Chodzi tutaj o miejsce sta³ego pobytu, a nie o pobyt tymczasowy (np. w celu wyjazdu wypoczynkowego lub s³u¿bowego).Wybierz z listy;W jakim jêzyku lub jakich jêzykach mówi siê najczêœciej w Twoim domu? Wska¿ najwy¿ej 2 jêzykiJêzyk pierwszy:;Jêzyk drugi:;Jakie masz wykszta³cenie? Chodzi tutaj o ukoñczona? przez Ciebie szko³ê? najwy¿szego szczebla.;Byæ mo¿e zetkn¹³eœ/-aœ siê z informacj¹, ¿e na Ziemi zachodzi obecnie zmiana klimatu. Korzystaj¹c z poni¿szej skali (1-5) zaznacz w jakim stopniu martwisz sie? zmiana? klimatu: gdzie 1 oznacza, ¿e w bardzo ma³ym stopniu martwiê siê zmian¹ klimatu, zaœ 5, ¿e martwiê siê w bardzo du¿ym stopniu.;k_rozk³ad;Czy zechcesz wzi¹æ udzia³ w badaniu poœwiêconym postawom wobec zmiany klimatu? Udzia³ ten polega na wype³nieniu kwestionariuszy. Zajmie to oko³o 30 minut. Po udzieleniu odpowiedzi na wszystkie pytania, otrzyma Pan/Pani wynagrodzenie w wysokoœci 30 pkt, które zostan¹ naliczone na Twoje konto w ci¹gu 7 dni.Wype³nienie kwestionariuszy wymaga koncentracji i zaanga¿owania.;
219;ca2b25306a5ad5a37b584562248feef2;kxQF3kNUUWUaJrq;2;;3;2;1;1;5;3;4;2;2;
220;cda344b7e114506cfae0e8eccc65cbfb;AtSeXfB4CEPNXhH;1;;2;1;1;1;1;1;5;3;1;
221;c52a11a15c38c40f0ecc4c5bd615436d;0yf8SjlDaaKWdan;1;;4;3;1;1;1;2;5;3;1;
222;6be23e008d12f07486e614479ca11856;X8apQuwPn8tHn7I;2;;2;1;1;1;36;3;3;1;1;
223;b99563f6100fe1670c7e3933c75724db;5lOb4lCs4um23AA;1;;4;3;1;1;5;4;3;1;1;
224;364b3acb021f912984bc914a9d64fa49;RcUWW6egESsJHw5;1;;5;4;1;1;1;2;5;3;2;
225;f8f8e24f322b93579884387e844feea8;juAf5uRyhIkkrtM;2;;5;4;162;1;;2;5;3;1;
227;7ada402fa4575506d587a295e984cbc8;HcSTGRaZq6vzAAo;1;;4;3;1;1;1;2;1;1;2;
228;8e81a74d036650c19ee90329fdea0eb7;noB8VxnA8cwVGPV;1;;4;3;162;1;;3;2;1;3;
229;428e48e65e1c68244ca7df00efee1619;8xUqY35haXGz9Kf;1;;3;2;162;1;5;4;3;1;1;
230;bdfc2408d61d7f39b36a8acd1150ea0e;jVbTKTPJE33LQNx;1;;5;4;162;1;;3;4;2;2;
231;452e2c73e04ab5bb66a9336c0b916533;1Rz8jWmaFzBXGqk;2;;5;4;162;1;1;3;1;1;1;
232;b57ca5222e10838f665f39b0ee82da68;xQlua8DTCfytjHe;2;;4;3;162;1;5;3;5;3;2;
233;ef8b61d68f21c6f68e493e762555f733;9X2wmudAqG4EeNl;1;;4;3;1;1;1;4;5;3;1;
234;eab4567a4a9ffb4f2aa4a1a550d25e69;xuwEd6VDC3ojPKB;2;;5;4;1;1;1;2;3;1;1;
235;ad6a71d2e8be932ede5573fbf679b012;0vzpGeG5Uv7TJfF;1;;4;3;1;1;;4;3;1;1;
236;f4b8a534dbb1d74ea378ff9aa103e027;rDQgErdWC6CB5eI;2;;4;3;162;1;1;4;3;1;1;
237;63076feb5a012a7b5540f817135cdaa0;vaTbZ9IGoNQuOFP;2;;5;4;162;1;1;4;5;3;1;
238;80cdadeecb8872a5e4de8094bd5fbbcc;40XmXsdSMToW3vv;1;;3;2;162;1;5;4;5;3;1;
239;42ee498956c286ed049b6b2c5327c77a;cYhw9bygugWPxoQ;1;;4;3;1;1;89;4;5;3;1;
240;8698ecc084ea18044bc68886081ac15c;LAmzz4OYXNzta28;2;;2;1;1;1;5;3;5;3;1;
241;b8d272e268cdaf4b9a7aa6bdec0199aa;yaCkhZ7tq6LoaoO;1;;5;4;162;1;1;2;5;3;1;
242;1f2aaff51a45c303be71ba9ce1f07428;yzq510NalgiL3kb;1;;2;1;1;1;1;2;4;2;1;
243;f07b46283c40e31a8adfc1cf537d1adb;L8STAiCzs2BESGo;1;;2;1;1;1;13;3;5;3;1;
244;a864f884b8d98a070f5bf1c4476a3f2a;oQSkVxQLjGczVI5;1;;4;3;1;1;1;1;3;1;2;
245;89b84653c831d0f17321fc19806b7c42;ueR4NoTXwx0Ttui;2;;4;3;1;1;1;4;3;1;1;
246;c705c450044ac87bce2c0e954d68e09f;oRsRah5Z1fwiIvS;1;;4;3;1;1;1;2;3;1;3;
247;a224ec8ab159c3dd2fb9dbdd3f9a3dd8;AP93Ma0zEfHXaYj;2;;2;1;162;1;1;4;3;1;1;
249;95fb33b73573c0321e2d1e3fa56e10d7;uMuRMwOt7DeRwHk;2;;4;3;1;1;5;4;3;1;1;
250;55089db2fb89f4487c0e31c2d4dd80b5;eq9rvMHm7gmvAD1;2;;5;4;1;1;1;3;4;2;1;
251;0f8b08067b8dae1f3e6ed4b0a700fdaa;q2525kz7EEFJNRd;2;;2;1;162;1;1;3;4;2;1;
252;493609eaa3b9c3d579ef1ef321f2e03f;fdIZ87cdBmVyeK3;1;;4;3;1;1;1;1;3;1;3;
253;3035e824313bca24c3ea6bc35352bd7c;Zbk6aCgukacQsdh;2;;5;4;1;1;5;4;5;3;1;
254;4631cd9e2d76e75ef5cee209df88d58e;nGM7y9t6W5w7CHr;1;;4;3;162;1;5;3;3;1;1;
255;dc5dccd8026ed937671832a137356be7;lvzGurf0RJyH8Kg;2;;4;3;1;1;1;1;4;2;1;
256;47155bdffee8ebb167794345e1996c81;PRxY8LJD5yzirYG;2;;2;1;162;1;1;1;3;1;2;
257;784427b2660dce286c1d15fc3a943829;ZnCD8vJxgja15iL;1;;3;2;1;1;5;4;3;1;1;
258;3bd046444ec48c555ec5da3e65c27555;awaCwZuUDMZtzHu;2;;5;4;162;1;1;3;2;1;1;
259;2b6b0dffea9eb9f0ad765ea0919a9b38;vLYXB1ZbtpRJXYn;2;;5;4;1;1;1;2;3;1;2;
260;f46ab699d178aabc46e663830ab89061;skhBzRdDRj7EqxQ;1;;2;1;1;1;1;2;4;2;1;
261;27c25a71e2b58a95d81eabd82330390b;9pab5IV08BXhsXo;1;;5;4;1;1;1;2;4;2;1;
262;2b87dbecca7cc606cc23e840dfd7b8b9;jFe2WeT0IXw2a8I;1;;3;2;162;1;1;2;4;2;1;
263;91b70b1b5f1a6a34637c2e6e8c275502;RtbymaGuXrLfnEy;1;;4;3;162;1;;2;3;1;1;
264;e94c292be9de7197b14ed8f7e7626533;KKAlTxoxjihpaKC;2;;2;1;1;1;5;3;4;2;2;
265;7773e6593b5c5a001b1d1d6eccd2d580;KgHFKoc6EKniHjk;1;;3;2;162;1;1;2;5;3;1;
266;21d33400c8249f0d225ded3e34b580d9;Zb29S4pR4mYDasm;1;;5;4;1;1;;3;5;3;1;
267;028073a8427320a91ab1009963b3ba92;AKGJte4bqPHlCAL;2;;4;3;1;1;1;3;1;1;1;
268;73baec37c9fe744fdb6dc2ab3659f47e;33a58f9ewLtEA9p;2;;3;2;162;1;5;3;5;3;1;
273;f1993a4dbbb42ca382227708126ab33f;2S30pJEyF2BH1II;1;;2;1;1;1;5;3;5;3;1;
274;46d13e32596b06a2ab59e5972a0c97da;boz576ppdsZoaBV;1;;5;4;162;1;89;3;5;3;1;
275;c50e1e852b4ec3527a822d9e2c7fe0f6;Q9PeBOl1Usm1yC9;2;;2;1;1;1;;2;4;2;1;
276;6bbb2e7464b32369d760e5a0837da2a8;Zu9RGnCCFvwnvVW;1;;5;4;1;1;1;2;5;3;1;
278;229f04fa928bc580eac6800b65d400e0;Qmi0ZX9cSOltAmo;2;;4;3;1;1;1;1;5;3;1;
289;e1587a62655d4cebca0e9e08c4761bb0;0tP92jxg01dYSiG;1;;2;1;1;1;5;3;4;2;2;
291;15eff32247fa1ddc65365666a2164a5d;3zsYn1lBm8zhyqM;2;;2;1;162;1;;3;4;2;1;
294;b68326af9d1b711ec2567edb468baa07;FdnOd8azz7p13Be;2;;2;1;1;1;5;3;4;2;2;
295;1ce1f81b1dcb897d6e614c519e9caa0b;Y61BjcgFZwdzM0N;1;;2;1;1;1;1;3;5;3;1;
296;03e271fc0971fbbb66b2facf5971c58d;p3Wk5gnIWQnDJH9;2;;2;1;162;1;5;3;5;3;1;
298;67a239431b86402d47e63838076b3ae8;0TXTu3mZJtCtxWW;2;;4;3;1;1;149;2;5;3;2;
300;905db15e812c1376a67a034c76d083b7;BYUkqbacMIhW5Ac;2;;3;2;162;1;1;3;4;2;1;
301;5d6dd4fee6f55db5956741d5f2ae7d28;mqAJ5vb1hxNsoTU;2;;5;4;162;1;1;1;5;3;2;
305;3bb97e6397f6b24e75e24b959a271a7d;Nul2A4rXOks4apQ;2;;2;1;162;1;5;3;4;2;1;
306;39b9e8ddab0d48f4168156c2fada6133;ByMsIjFfszfzMIa;2;;3;2;1;1;5;4;4;2;1;
308;f2b9163f8aa64292daa0a3b88b9a0b61;a5C8wKzSewJZTbL;1;;3;2;1;1;1;2;4;2;1;
318;0debab59e17fc9fd565e804915901abd;4m2OYz5pg7Ed5z4;1;;2;1;1;1;;3;4;2;1;
320;fbbc7add481a51cd52ed603ed05a1377;W9la3GTyson23lP;1;;2;1;1;1;1;2;4;2;3;
322;b433857322f83a7ae66ae9fe250d8b51;asz7ROeAoVNupCW;2;;3;2;1;1;1;3;5;3;1;
329;df3758d704cd2203d9f07031feed8e57;l4YytLbCcOILuBa;2;;3;2;1;1;1;1;5;3;1;
330;68092701de88858507e5772ea492851a;qcLAl2oNkvsRGxT;1;;2;1;1;1;5;2;4;2;2;
335;a56ca75460b74049aa3c0d80c5652bff;4Rd8rzajrGWxq2X;1;;2;1;162;1;1;1;5;3;1;
342;5a05cce3ec4de8a819cfcf1ece6d40ce;REqb4e9ZveM8p5C;1;;5;4;1;1;1;1;5;3;2;
344;50fa14cca581ac8617c2dee611dec229;NPWbR9Vn3wPzoAR;2;;5;4;1;1;1;2;4;2;1;
347;fede3b59c3c2e200b0c5c1fecfe594c5;ZJiU8zAjzKZfXsX;1;;5;4;1;1;;2;4;2;1;
351;e9549bf03c8a9478ab9fdb4dc900a865;BmeIU8iTsuJUwSq;1;;5;4;1;1;;2;5;3;1;
354;55c5b95ec0ce1560a17e970fa299302d;eKXe34HEmR9PfH4;2;;4;3;1;1;1;2;5;3;1;
357;cc875c82e9ff9916ce07efe6e20386a9;1wcMf4EB3y5a9pr;2;;3;2;1;1;5;1;4;2;2;
363;fcd07026573719f73e7819eec186cbae;XTViUb1PvXEk3aP;2;;4;3;1;1;;1;5;3;1;
368;e660773b15bae20816bd11a7264a944c;AURztrGlO5bU9Ro;2;;3;2;1;1;1;2;4;2;2;
373;99bd26e19cd083e935070f302f20251f;Q8s0smi15bflTRs;2;;2;1;1;1;5;2;4;2;1;
375;e6b3ec178c805a7c396b6cb28769c6cf;GCcHPojpY8csUuw;1;;2;1;1;1;;1;5;3;1;
381;4099efae769c35505829a69e0e6cf791;826Rtz6HBY4RNNJ;1;;2;1;1;1;;2;4;2;1;
390;d2e74fb5ab624d531235c8a72da53912;VSYPWVQSG2DpkIr;1;;2;1;1;1;;1;5;3;1;
397;c5086c69f8c37245cb80a29903f824f4;nUYM32p7umnLGDA;2;;3;2;1;1;89;2;5;3;1;
399;a88d20e03c0e415ebdb3f3db8b06b668;FTrf5GESSl98Vuu;2;;5;4;162;1;1;2;5;3;1;
403;7e90f1c62cab632612b9cdda77ab77db;NuXjTUrheqLDwRR;2;;2;1;162;1;1;3;4;2;1;
404;f5075782a3eb4a062c44db0f2cb8cc9c;4tH2Z24kjhe8JG9;1;;5;4;1;1;1;2;4;2;1;
407;b788f78e04c8a6e0756df3f27baf22e9;hSzt1AvCRZzkg5y;2;;5;4;162;1;1;2;5;3;1;
408;60a8170dee540dc6b10768478835a7a4;DnGSRhL8TPufjFW;1;;5;4;1;1;1;2;5;3;1;
409;f273fe298475f2d40b0a7c1709ca2708;S7xkIz3f4gniqZz;2;;3;2;1;1;1;2;5;3;1;
419;59628b7010b2ac7debe673433964eaa2;VzIfbFgb7NXbfbR;2;;3;2;162;1;5;1;4;2;1;
428;50e93fcb5c55a82e75f98d7273c65e09;47SSz3rkHS566nK;2;;2;1;1;1;5;3;4;2;1;
455;40d4abcd5e887719e0011e06ea7a235d;25jOTVfyjIXaLYL;2;;3;2;1;1;5;1;5;3;1;
493;43958fd226888fe1914ea4c134d0d7a7;aNX8cTqopL44M8p;2;;3;2;1;1;1;3;4;2;1;
503;834daabda64eaa4e074f32302e8c2e31;TKTrElDeYDxWWS1;2;;3;2;1;1;5;3;4;2;1;
508;bf51cd7fe80536773f45d9f0cbb94810;QMAqUxsbUjzEEAP;2;;3;2;1;1;5;3;5;3;1;
520;c6776e794441321f7c0a6a60376f7919;Rxv39BJgvtkQtB8;2;;3;2;162;1;5;1;5;3;1;
566;e07af8a613c4320f0b121fa2eb2c6aa1;azDdpizdPzzzzaj;2;;5;4;1;1;5;3;4;2;1;
575;ae2fdd1b748b1fc87580f1f31289542b;Zobxz8lxaJ6Z08G;2;;3;2;1;1;5;3;5;3;1;
576;662bf4ba449fa9127d5725d31a394d3d;ELuGzjoaXnZ62OR;2;;3;2;1;1;1;3;3;1;2;
577;a00a42c77139b91040a8d57379f76613;IEgnu5ZNZysuGg9;1;;2;1;1;1;1;1;3;1;1;
579;342410fc3d9cb47af85cbcd5bf901735;Cv8NSRpqdabsvSh;2;;3;2;162;1;1;3;4;2;2;
580;a4af1f16d1b4a9e01b375ebb23ec5ece;zka98nhh50COkJ2;2;;3;2;162;1;1;3;3;1;1;
581;75a27c0df69c3b1a9aaf302f733546be;ImnA7MAayF9boYK;2;;3;2;1;1;5;4;4;2;1;
582;f04a695d1ba9bf8d8ea495e025864d34;lPucbclja4NAPsh;1;;4;3;1;1;5;4;4;2;3;
583;20157e7045b96b123be942540a22b841;QCVIzcWHtBzacRz;1;;4;3;1;1;1;2;3;1;2;
584;f34b3ab4329136177268639b82ffa6e8;XEaN0kfIqx71iI6;2;;3;2;1;1;5;4;5;3;1;
585;a048335efd80cdea02e8943cb9584d89;PAz0jdzk9xIiNoa;1;;3;2;1;1;5;1;3;1;1;
586;bb31b94081db2e41e4f6263834b1330e;WIME66xmVBQwRGH;1;;3;2;1;1;5;4;4;2;2;
587;30e2b9708aad468350a7a21b8366f323;0xh3DHl4xOqXUTp;1;;4;3;1;1;1;4;5;3;3;
588;6ba18567d8663a58f8bffde80623b670;x1jwo2KMTKASc37;1;;5;4;1;1;;4;5;3;3;
589;ca542fe372ad4ccbf6f0ae71a16b9c3f;6oeV4hl34kZTyMU;1;;3;2;162;1;1;4;4;2;1;
590;56a393db13aa24b62c20e758f771727c;xnO3syiOmrxZYsV;1;;4;3;1;1;1;4;5;3;1;
591;b0fbc339ca5a5b054262e478cc0132ab;0XLDmooOqQCmgOd;2;;4;3;1;1;104;3;5;3;3;
592;0da3082ee2578fb175a80b721a67e22f;RjRoAXuKpd1h36t;1;;3;2;1;1;5;3;1;1;1;
594;ae41d96df55c79509d2567bce2eba196;mvJkzbmzoxQeiqj;2;;3;2;162;1;;3;1;1;2;
595;a255a572c4f63a2e549ed11ca809d34e;OUIJiP7P5onPpTc;1;;4;3;1;1;1;1;5;3;1;
596;2622ace136d373adf53ba8e51e27532c;lr9eRqwfABpRmQS;1;;4;3;1;1;1;3;5;3;1;
597;c5855e9e4e52f9c12b76822ea1b08554;b5jYhzMMlCujkC5;1;;4;3;1;1;1;1;1;1;1;
598;73c8d605a3440935fa28a9d5919622dd;1OMSk8oUWFKgeLc;1;;3;2;1;1;;3;3;1;1;
599;d2be37669367172f122d9fae037502a5;XrR4REpBQ77HQM2;2;;2;1;162;1;5;3;4;2;1;
600;a3e56aa8e39932630c5f89c332b9c6b7;LTYIxr8rVG5PLBr;1;;5;4;1;1;;2;4;2;1;
601;f34665ba23f7226cd08f58576bb44f76;tqzSPauDYJ45Uko;2;;4;3;162;1;5;4;2;1;1;
602;14bb79aa81743adab977bf6d95c20483;NFf5wkrTpa0SAQV;1;;2;1;1;1;1;1;3;1;1;
603;68b30422cddbf2b4719705f826b1dd14;RId8xzXrj0mJx7f;1;;5;4;1;1;1;2;5;3;1;
604;df546fd5018e0f75384444e6c49ca0ac;J8mvfHOaHZVMgII;1;;4;3;1;1;1;2;4;2;1;
605;def0cf09e4ec4efa455790004d8f2684;ZpzVclKL0LTd9yX;1;;2;1;1;1;5;3;5;3;1;
606;84a3c383e5d6ec0d1539c54479f6d2a9;FGajqkVzzdBQNbB;2;;2;1;162;104;1;4;4;2;1;
607;73061bf1ecfa742b64846a0e673c2929;AUhZPZNplojGEDU;1;;4;3;1;1;1;2;3;1;2;
608;5944edd1e5d728e36bea88ad44bd8c6b;Ts0f2eXFs98LNAc;1;;4;3;1;1;1;3;5;3;1;
609;b81fe4b787f71a8a37a8f5c6565a7c63;qIpaTzlz8KZuml6;1;;3;2;1;1;5;4;5;3;2;
611;0e20adffe19044af77d78d9562bfc169;OGPnRTQx7yKLjLs;1;;3;2;1;1;5;4;5;3;1;
612;10f52c4f8e6c2ae49fcb279750a93ce7;dwfsxlfZFRPUIwY;2;;4;3;162;1;1;3;3;1;1;
613;a754952078c3eaa404d45d9ae12e1fae;xHihaH5msAYMgV5;1;;3;2;162;1;5;4;3;1;1;
614;c674a0e61325b97aafd3b976f8f34daf;BAzOKx9XluejYbu;1;;2;1;1;1;1;2;5;3;2;
615;24061b4439eb313ab540dafe7cdab63b;X5M0CACKdq2PGMB;2;;2;1;162;1;5;4;4;2;1;
616;abef3ac581c1ef0075c7d6d8c5b8195d;ALszV8c1NJHODoY;1;;3;2;162;1;1;2;4;2;2;
617;a3c76d866dcf4b984db3e03d1036aec2;U07SEq72M3KRA0d;1;;4;3;162;1;1;2;4;2;1;
618;96c1a1babc6a478c8d92009a9d006bec;R2FnYzldUWglHa3;1;;4;3;1;1;1;3;5;3;2;
619;21f1d9d70ac363ec19b0a2f8629e239e;1EiXy2z6TJ6ifaq;2;;4;3;162;1;5;3;4;2;1;
620;7c13de621d7147ac8c7041b5a8f28f6e;Jk0NHfVrjrWCbak;1;;5;4;1;1;1;2;4;2;1;
621;d90c65057c9d66842d0131ca6a3d921f;aXK86kNKL10Kt6k;2;;3;2;1;1;1;2;4;2;1;
622;ea632e9d3b4fe061ec1634a034ee3cf5;2b7UJeucsYD46IQ;2;;5;4;1;1;1;4;2;1;2;
623;2da4e83d58028682085bc35c300ed25f;533BDCOBZH4GOT2;1;;5;4;162;1;;3;4;2;1;
624;9c90f0e64946d28c841c14a96850e7af;CoWcJKnoOdwgDQ9;2;;2;1;1;1;5;4;3;1;1;
625;f67c31270518a600732b8c38287e69fe;EGnNoyAk0Tg6ur1;2;;4;3;162;5;1;4;5;3;1;
626;d2309d25438afc9049612aa03744022f;qjddzwgjK55dS9E;2;;2;1;162;1;89;1;1;1;1;
627;af10cb5e7862208788a3cda5e64392d4;E7kRmHMSPAhTA5k;1;;4;3;1;1;;3;5;3;1;
628;a1dcd6b8e98df6f4bca6fb0a3f8a72b3;ZjFYsa3INSZd4WD;2;;3;2;1;1;1;1;5;3;1;
629;c028abd12b992d3fecc6401a5cc6cf4b;JH3s6Dkid3BGRY2;2;;5;4;1;1;;3;5;3;2;
630;fdc1d04a7faf925fa440c3a59990d032;90xAimmYlaLPghc;1;;3;2;1;1;1;3;1;1;1;
631;2b69454b8ed18a30da3563f284059efb;Y8hLtRy51MSWEMF;1;;2;1;1;1;1;1;1;1;1;
632;c719002c8e6001ec5c91afc58807bbb5;4ph9fYqqVSqUViG;2;;3;2;162;1;5;3;3;1;3;
633;a480a3002d2a81e7ba102772145291c3;gPYxZQdNzziskIa;2;;4;3;1;1;;1;5;3;1;
634;7155bcbf8e7c558ee499f7d210c31ab9;upkp3zAzScu1GlI;1;;3;2;162;1;;1;2;1;2;
635;8bce0fd8f6999172465958be0bef5ea7;5QUCs3PETMBy1Y2;1;;5;4;1;1;5;3;5;3;3;
638;fcc049b7ff7839fa544b74b348f124f8;Z6ozUJSBi6tajAz;1;;2;1;162;1;5;3;5;3;1;
639;a3cc05505ff1bd1b95d7804e6031fe13;e9R1CehLcIVv5vI;2;;2;1;1;1;5;3;5;3;1;
640;2644fb8b40a0a7c78498703ab9d6033a;Jez5vfet9rJxFjl;1;;2;1;1;1;5;3;3;1;1;
641;bf5cc8e05f2dc101ed339231726721ff;s2DfFhtWbahN3Zq;2;;3;2;1;1;1;2;5;3;1;
642;b90dd26ecb679d6f2b5d2d7a4588feb2;kSIVQZEO6XpvzLD;1;;3;2;162;1;5;3;3;1;1;
643;8fe2cc31d39edfefc8dffc2ed162e890;WNqek6GdVOASR0o;1;;5;4;162;1;1;3;4;2;1;
645;9f0745a965fbc6dbac0f27cb7de8bd7c;3xWvHZ92odf2Lk6;1;;3;2;162;1;1;1;1;1;3;
647;244e50adb6e1e493203c0894cb8f7fa1;26K7xOh3MajqAzM;1;;5;4;162;1;1;4;4;2;1;
648;d88fa673e5a7f360fbf7ecc83211dcb6;Qb9qHwqhrw5z3Dc;1;;5;4;162;1;1;4;1;1;1;
649;5c8926a214f9861f12798a0372400990;4c6XjxhLePD0vTe;2;;3;2;1;1;1;3;2;1;1;
650;c1db569d4e9af5600fd5564e6ee6dd04;0tNzKGbzrSy15Fc;1;;2;1;1;1;;3;4;2;1;
651;6517cc65fb59fec785d5aabcdff84809;ZOSxyTfk85hZTBp;2;;3;2;1;1;5;4;5;3;1;
654;7d60227197f3e32d5965f8a5a2eb299f;o7cZavgx24rIPyM;1;;5;4;162;1;1;4;3;1;1;
655;f87f175b4f9e2f863df058562ccf5b71;zb8CRXIFw0bwoVJ;2;;2;1;1;1;5;4;3;1;1;
656;5540517fbeaa4e9a7ef2e3d31cb011a3;xiDt2NVKZEjCH74;1;;2;1;162;1;;4;3;1;1;
657;7dc72a8797f807d0716a6e2862c40dee;uGCjXZlVmEQPzG0;2;;3;2;162;1;5;4;5;3;1;
659;16707def7dda49b243312768974d9b6d;chH0AQESNhDF3ID;2;;3;2;1;1;1;1;3;1;1;
660;44dd70fa6a344782bf71f816ec916a6f;TsmPtDehb3sZegf;1;;3;2;162;1;1;1;5;3;2;
661;f67d563bea748783fa96eedb971dce65;rt0GzGj6MjKHC0B;2;;5;4;162;1;;4;5;3;2;
663;39ecb83b83b499f50617c7d4dc992a6c;8vrpzEsBxWkaZgp;1;;5;4;162;1;104;4;5;3;1;
666;f1b5de3acecc63eb4e3b3cc6bc2a9131;BuBWRBNfNL1qg3N;1;;2;1;1;1;5;3;3;1;1;
668;ee8a3ee206b038abec6777c4a9f657bb;oRv58pp7HOXaDh4;2;;2;1;162;1;5;1;5;3;1;
669;53e2006b111c8aae9ce56d5164058472;53w2650eLwRQBtp;1;;2;1;1;1;89;4;3;1;1;
670;d1f0e3613aaeb22426383d22a826d606;YMefqTarhUjNHQY;2;;2;1;1;1;5;1;1;1;1;
673;4a1854bcb87dd9e3d0198fc56d54cfc1;M6VdQ0ztjcPEicn;2;;2;1;162;1;5;4;5;3;1;
675;3f1b89b823fecbd2fb4f57e691ee9192;37V0hz33zroO0OW;1;;2;1;1;1;1;1;5;3;1;
679;fc35db6152110f7d580ff2b6fd521fb8;hk5t0ryNA8OjUR9;2;;2;1;1;1;5;1;1;1;1;
680;fa525a2598409238d0f97774bdafe0ab;0gQvOGSHJHwM2ua;1;;2;1;1;1;;1;5;3;1;
681;58c912cd0213ecb042669c63d2d3424b;5eo3fIapEDgUTUR;1;;3;2;1;1;5;1;3;1;2;
682;88da06ddcf97e93c1aacdd03f72eea5f;c0Vw9JxUJ4wftm9;1;;3;2;1;1;5;1;5;3;1;
683;ce99d848242caeee52d18948af7067d0;M9RszVPfma6lADg;2;;2;1;1;1;5;3;5;3;1;
684;531e246256dd07ddd1040cc3a5b41efa;7l07nDR4ffioWyd;1;;2;1;162;1;1;1;5;3;1;
685;a0e7b3c17068558de1f215033391f7b6;uYYdsRGkM6CtxG8;1;;3;2;1;1;1;1;4;2;1;
688;856983c27408ea8f9eed9f37a0b21417;QAIiac4i3tkQ7aI;2;;2;1;162;1;1;1;3;1;2;
689;8bbd1d1ba5e329ade1067995fd42737d;UqTYMC9xuAXAizq;1;;2;1;1;1;5;1;3;1;1;
690;81ebed2dcbb837ee0ce739a34054a9b4;eOgTNBPiRszng2r;2;;2;1;1;1;1;1;1;1;1;
692;3344e34d63c7a0e428e964fc176efdfe;fTJUaeoazILDWNj;1;;2;1;1;1;;3;3;1;3;
693;b0cace6feee957f73f3a84c4e423fe56;S8gqeN3zCz2dU4T;1;;3;2;1;1;;1;4;2;1;
694;d36cb414775077fe93c2a216495a54ab;oyw2Zi6W0Subaft;1;;3;2;1;1;1;1;4;2;2;
695;854e49da6d4847069881a5de01fabac0;w7x70aeyaxizsxr;1;;2;1;162;1;1;1;2;1;1;
697;dcd5d4618cd86c01b79b2ef2208698c3;8URtyRQvXb8MY9t;1;;2;1;1;1;;1;3;1;1;
698;d0b0f98b2e6d587776a903beaa21cbb6;D26OFjpgKcgPrHo;1;;3;2;162;1;5;1;5;3;1;
699;47ba18f68ad441d90c57515fb44194db;lXkn1xyba9QK0I5;1;;2;1;1;1;5;1;4;2;1;
700;50e313a8f244eeee3d2f33a7c3c4e4ef;vUmq3J6u8XWZOQg;2;;2;1;1;1;1;3;5;3;1;
701;da993e84d3a8e6d299290206a4ea1d3c;ab3zV3eHBoYgezC;2;;2;1;1;1;1;3;3;1;2;
703;4a5ad7d963d1564db4b743afce2ab522;f61azkarR0socwr;1;;2;1;1;1;;3;4;2;1;
712;a77e9b3fc960928a89f61b636d087dd4;94vR9gJVWlxdOoQ;2;;2;1;162;1;;1;2;1;1;
714;ecbeeb9eedc0c438114ca3dcf914e12e;NXVncKaTGdT6jvK;1;;2;1;1;1;1;1;3;1;1;
716;c7730eb72faf5ab0abbf9b2dc80abd14;adxZtV39DPCWlbM;1;;2;1;1;1;;1;4;2;1;
717;bc00496dc05831409d8ff7483f2b4a9c;UQNYITyhxeIhdLA;1;;2;1;1;1;5;1;5;3;1;
721;c910451651b1d9f3062ae4eecf21c442;yT1GcHUxaB8PkTs;2;;2;1;162;1;5;1;4;2;1;
727;79af3b824943e41c0457fa238bfd6d66;CYpNPQOanbaL2F7;2;;2;1;162;1;;3;3;1;1;
740;adaee5e3b4b9cf6af5ccebb1635eab73;41NCf2MickhZ5FD;2;;2;1;162;1;5;3;4;2;1;
741;a4118237b522288055c7d11ee2209774;FAGDQWBTeShfuz8;2;;4;3;1;1;5;4;3;1;1;
742;d164f82ffc17b1843a080e2ec63e3a67;7aGd3JHjJDEgwqG;1;;3;2;1;1;89;4;4;2;1;
743;0b266897944d222354307919e455e4c4;Exu65YZNYdVZ867;1;;4;3;162;1;;3;5;3;2;
744;de4f88382f720f67eaee0d4983d9940b;epKT9qbzwfnvrp4;1;;4;3;162;1;1;4;3;1;2;
745;e9979896282733e875bf5b0ce30c175c;MJFI2Q11LQbuxqp;2;;4;3;162;1;5;4;4;2;1;
746;01726cc43d3c10c86550af92ebbe7d0d;fjT8v4iMaxhpDiG;1;;3;2;1;1;1;4;5;3;1;
747;fe346a59a464161c3fa746b06517817d;G3NGRxeoEY51eU2;1;;3;2;1;1;5;4;5;3;1;
748;1bf0aa349204221d1611767b3ffdda81;YihzfqNNaMWlk93;1;;4;3;1;1;47;3;4;2;1;
749;54aac25dced1026b2a014781c124bd16;2mnCRedAzLaJscW;2;;5;4;1;1;1;4;3;1;1;
